Occupation,Employment level - November 2021 ('000),Projected employment level - November 2026 ('000),Projected employment growth - five years to November 2026 ('000),Projected employment growth - five years to November 2026 (%),,
,,,,,,
,,,,,,
MANAGERS,1786.0,1949.8,163.7,9.2,,
"Chief Executives, General Managers and Legislators",132.9,143.4,10.5,7.9,,
"Chief Executives, General Managers and Legislators",132.9,143.4,10.5,7.9,,
Chief Executives and Managing Directors,42.3,44.2,1.9,4.6,,
General Managers,87.3,95.7,8.4,9.6,,
Legislators,2.5,2.6,0.1,4.6,,
"Chief Executives, General Managers and Legislators nfd",0.1,0.1,0.0,13.9,,
Farmers and Farm Managers,173.1,182.3,9.2,5.3,,
Farmers and Farm Managers,173.1,182.3,9.2,5.3,,
Aquaculture Farmers,3.7,3.8,0.2,4.7,,
Crop Farmers,34.3,37.3,3.0,8.7,,
Livestock Farmers,97.6,103.2,5.7,5.8,,
Mixed Crop and Livestock Farmers,27.1,27.8,0.7,2.6,,
Farmers and Farm Managers nfd,11.1,10.7,-0.3,-3.0,,
Specialist Managers,956.3,1071.7,115.4,12.1,,
"Advertising, Public Relations and Sales Managers",165.2,172.4,7.2,4.4,,
"Advertising, Public Relations and Sales Managers",165.2,172.4,7.2,4.4,,
Business Administration Managers,248.9,282.9,34.0,13.6,,
Corporate Services Managers,15.9,16.3,0.4,2.5,,
Finance Managers,73.0,81.5,8.5,11.7,,
Human Resource Managers,117.8,137.1,19.3,16.3,,
Policy and Planning Managers,26.4,28.0,1.5,5.7,,
Research and Development Managers,17.3,21.5,4.1,23.8,,
Business Administration Managers nfd,0.7,0.9,0.1,19.4,,
"Construction, Distribution and Production Managers",304.3,334.2,29.9,9.8,,
Construction Managers,111.9,123.3,11.4,10.2,,
Engineering Managers,24.1,26.9,2.8,11.7,,
"Importers, Exporters and Wholesalers",18.4,19.9,1.5,8.0,,
Manufacturers,35.3,38.1,2.8,8.0,,
Production Managers,75.0,84.8,9.8,13.0,,
"Supply, Distribution and Procurement Managers",45.4,47.0,1.6,3.5,,
"Construction, Distribution and Production Managers nfd",0.1,0.1,0.0,18.2,,
"Education, Health and Welfare Services Managers",90.8,108.6,17.7,19.5,,
Child Care Centre Managers,15.3,18.7,3.3,21.8,,
Health and Welfare Services Managers,35.8,45.3,9.5,26.5,,
School Principals,22.3,24.9,2.6,11.5,,
Other Education Managers,20.7,23.1,2.3,11.2,,
"Education, Health and Welfare Services Managers nfd",0.1,0.1,0.0,0.0,,
ICT Managers,81.2,95.6,14.4,17.7,,
ICT Managers,81.2,95.6,14.4,17.7,,
Miscellaneous Specialist Managers,71.0,82.6,11.6,16.4,,
Commissioned Officers (Management),6.5,6.9,0.4,6.0,,
Senior Non-commissioned Defence Force Members,0.1,0.1,0.0,0.0,,
Other Specialist Managers,64.2,75.5,11.2,17.5,,
Miscellaneous Specialist Managers nfd,0.1,0.1,0.0,15.0,,
Specialist Managers nfd,2.7,3.3,0.6,21.5,,
Specialist Managers nfd,2.7,3.3,0.6,21.5,,
"Hospitality, Retail and Service Managers",516.9,545.5,28.6,5.5,,
Accommodation and Hospitality Managers,101.8,119.8,18.1,17.7,,
Cafe and Restaurant Managers,64.0,81.4,17.5,27.3,,
