ANZSCO_TITLE,2018,2019,2020,2021,Growth 2019 vs 2021,Growth 2018 vs 2021
Accountants,4327.916666666667,3964.3333333333335,2581.8333333333335,3444.75,-13.106449171781723,-20.406277077115632
Accounting Clerks,2509.8333333333335,2429.3333333333335,1336.0833333333333,2034.5833333333333,-16.249313940724484,-18.935520286871647
"Actors, Dancers and Other Entertainers",218.08333333333334,196.16666666666666,162.58333333333334,246.33333333333334,25.573491928632127,12.953763851738632
"Actuaries, Mathematicians and Statisticians",269.0833333333333,267.6666666666667,177.91666666666666,272.1666666666667,1.681195516811955,1.1458655930628818
Advertising and Marketing Professionals,2041.0,1917.4166666666667,1290.25,2362.4166666666665,23.208309791820582,15.747999346725456
Advertising and Sales Managers,6427.416666666667,5803.083333333333,3549.25,5343.166666666667,-7.925384493875372,-16.869141308716564
Aged and Disabled Carers,1714.0,2059.0833333333335,2230.4166666666665,3319.75,61.22465498401392,93.68436406067678
Agricultural Technicians,51.833333333333336,55.0,56.0,112.75,105.0,117.52411575562701
Agricultural and Forestry Scientists,23.583333333333332,24.25,22.416666666666668,42.083333333333336,73.53951890034365,78.44522968197882
"Agricultural, Forestry and Horticultural Plant Operators",46.5,38.833333333333336,46.5,59.5,53.21888412017166,27.956989247311824
Air Transport Professionals,55.583333333333336,48.0,35.416666666666664,57.25,19.270833333333336,2.9985007496251828
Airconditioning and Refrigeration Mechanics,363.9166666666667,373.5833333333333,306.6666666666667,443.8333333333333,18.804372072273033,21.960155713304317
Aircraft Maintenance Engineers,49.416666666666664,48.083333333333336,36.75,57.5,19.58405545927209,16.357504215851606
Ambulance Officers and Paramedics,30.166666666666668,42.916666666666664,37.083333333333336,52.666666666666664,22.71844660194175,74.58563535911601
"Amusement, Fitness and Sports Centre Managers",144.0,125.91666666666667,102.08333333333333,194.5,54.46724023825281,35.06944444444444
Anaesthetists,8.5,16.0,22.5,24.166666666666668,51.04166666666667,184.31372549019608
Animal Attendants and Trainers,76.5,74.75,78.5,140.08333333333334,87.40245261984394,83.11546840958607
Aquaculture Farmers,0.5,0.9166666666666666,0.5833333333333334,0.3333333333333333,-63.63636363636363,-33.333333333333336
Aquaculture Workers,2.1666666666666665,2.0,1.5,1.9166666666666667,-4.1666666666666625,-11.53846153846153
Architects and Landscape Architects,815.3333333333334,690.8333333333334,487.25,644.8333333333334,-6.658624849215923,-20.911692559280457
"Architectural, Building and Surveying Technicians",2289.1666666666665,1905.6666666666667,1357.25,2015.5,5.763512331642465,-11.954859847105928
"Archivists, Curators and Records Managers",57.583333333333336,63.666666666666664,46.0,72.08333333333333,13.219895287958112,25.180897250361785
"Artistic Directors, and Media Producers and Presenters",15.25,14.75,8.0,18.416666666666668,24.8587570621469,20.76502732240438
"Auctioneers, and Stock and Station Agents",1.8333333333333333,1.75,1.25,2.8333333333333335,61.90476190476192,54.54545454545456
"Auditors, Company Secretaries and Corporate Treasurers",593.0,682.0833333333334,453.3333333333333,760.0833333333334,11.435552840562003,28.175941540191126
"Authors, and Book and Script Editors",29.166666666666668,37.083333333333336,38.166666666666664,73.08333333333333,97.07865168539324,150.57142857142853
Automobile Drivers,39.833333333333336,31.666666666666668,23.833333333333332,41.416666666666664,30.789473684210517,3.974895397489528
Automotive Electricians,317.75,303.0,243.0,317.6666666666667,4.840484048404846,-0.026226068712294062
Bakers and Pastrycooks,280.4166666666667,267.75,274.4166666666667,473.6666666666667,76.90631808278869,68.91530460624071
Bank Workers,818.8333333333334,635.1666666666666,475.3333333333333,940.5,48.071372343217014,14.858538571137792
Bar Attendants and Baristas,1467.1666666666667,1520.0,1212.3333333333333,2581.5,69.83552631578948,75.95138021129159
Barristers,18.25,26.833333333333332,22.25,33.0,22.981366459627335,80.82191780821918
Beauty Therapists,387.5,364.6666666666667,347.5833333333333,496.1666666666667,36.060329067641675,28.043010752688176
Betting Clerks,2.5833333333333335,2.25,1.4166666666666667,1.6666666666666667,-25.925925925925924,-35.483870967741936
"Binders, Finishers and Screen Printers",20.5,12.916666666666666,9.583333333333334,18.583333333333332,43.87096774193548,-9.349593495934966
Boat Builders and Shipwrights,12.833333333333334,12.166666666666666,11.833333333333334,25.75,111.64383561643835,100.64935064935064
Bookkeepers,625.6666666666666,609.5,404.4166666666667,583.0,-4.3478260869565215,-6.819392647842296
Bricklayers and Stonemasons,83.75,75.33333333333333,73.41666666666667,134.91666666666666,79.0929203539823,61.09452736318407
Building and Plumbing Labourers,697.25,587.3333333333334,516.0833333333334,956.25,62.8121452894438,37.14593044101829
Bus and Coach Drivers,156.16666666666666,137.41666666666666,111.83333333333333,220.75,60.64281382656156,41.35538954108859
Butchers and Smallgoods Makers,118.0,96.08333333333333,119.5,178.58333333333334,85.86296617519517,51.34180790960453
Cabinetmakers,364.3333333333333,313.0,248.0,389.25,24.361022364217252,6.838975297346758
